query_id,question,answer,context,confidence_score
1,who is vishnu,"vishnu, who is always served by the devas, gandharvas, apsarasas, siddhas, chranas, munis, and yogins","templates vishnu, that lies beyond the ken of knowledge, the undecaying, eternal subjectivity, is liberated from the trammels of life he, who constantly contemplates vishnu, the protector of the universe, the friend, the grantor of all desired objects, the spirit that occupies the three regions and is imaged in the universe, is liberated from the trammels of life he, who constantly contemplates vishnu, the dissipator of all misery, the grantor of all bliss, the extinguisher of all sin, is liberated from the trammels of life he, who constantly contemplates vishnu, who is always served by the devas, gandharvas, apsarasas, siddhas, , chranas, munis, and yogins, is liberated from the trammels of life he, who wishing to be liberated from the bond of existence constantly contemplates vishnu by hymnising him in the abovesaid way, becomes a liberated self the universe is established in vishnu, vishnu is established in the universe he, who constantly contemplates the birthless vishnu, the lord of the universe, is liberated from the trammels of life suta said the bullensigned deity thus addressed the holy nrada of yore i have narrated to you the hymn exactly as shiva narrated it to that holy sage o my child, by thus meditating upon the changeless, indivisible brahma, you shall attain his eternal self the merit of celebrating a thousand horsesacrifices and a hundred vjapeya yajnas does not rank a sixteenth part of what is acquired by medi tating, for a moment, with undivided attention, on the eternal self of vishnu the celestial rishi sage having learnt from ishvara shiva of the superiority of vishnu to all the gods devoutly worshipped him and attained to the region of vishnu he, who recites this excellent hymn, or hears it recited by others, stands absolved of sin, committed by him in the course of a million rebirths he, who, in a devout spirit, recites this hymn of vishnu, narrared by mahdeva, tomes by immortality 0: nd the lord of planets salutation unto kla, death and bhima salutation unto him who shows favour unto his votaries and protects them salutation, again and again unto the form of vishnu, unto him of a dispassionate mind, unto the holder of weapons, unto the weapon of vishnu and unto discus thus the highly sacred hymn of vishnu is described he, who reads it with great reverential faith, goes to the region of vishnu o rudra the selfcontrolled man, who reads this prescription of the adoration of the discus, reduces his sins to ashes and reaches the region of vishnu :o: naments, and is smeared with sandalpaste the gods wait upon him in the spirit of loving servitude, and he does what the gods approve of he does what is beneficial to them he is vasudeva, the lord of the universe he looks after the universe he looks after the good of all beings he it is that shines in the sun he it is that forms what is so wholesome in water he is the only subject contemplated by all, the supreme or dainer in the universe, the supreme vishnu, whom the seekers of salvation",0.9624593865871429
2,who is yamraj,the god hari,"xciii maheshvara said:tell me, o hari, o madhava, o you who have destroyed the demon keshi, what is it that led the holy yajnavalkya, to lay down the rules of conduct in daysof yore said the god hari :once on a time, the holy sages visited, in a body, the venerable yajnavalkya in his hermitage at mithila and having duly made obeisance to him, they asked him about the rules of conduct to be observed by mem bers of the different orders of society whereupon the self controlled yajnavalkya, meditating upon the self of vishnu, replied as follows yajnavalkya meditation, either twice or thrice, is called puraka absolute suspension of breath is called kumbhaka expiration by one nostril is called rechaka the withdrawal of the organs of senses from external objects is called pratyahra dhyna is the meditation on self and brahma the steadying of the mind is called dharani the state of mind in which ones soul is absolutely immersed in brahma and when he thinks i am brahma is called samidhi i am self, the parabrahma, ever existent, full of know ledge and without end the bliss of knowing brahma selfcontrola great moral or religious duty or observance and here though it is mentioned five, but ten sorts of yama are enumerated the names are given differently by different writers t religious rites or austerities which are not so obligatory as yama in yoga philosophy restraint of the mind, the second of the eight principal steps of meditation in yoga 17 i realized when one understands tattwumasip i am brahma, am without body and organs of senses i am devoid of mind, intellect and egoism i am the light in three states of wakefulness, dreaming sleep, and dreamless sleep i am eternal, pure, enlightened, existent, blissful and without second i am that prime purusha i am that un divided, portionless purusha a brahmana, thus meditating, is freed from the fetters of the world :o: d is the destroyer of kartavirya he is kalanemi, mahanemi, the cloud and the lord of clouds he is the giver of food, of the form of food, the eater of food and the ordainer of food he creates smoke and is of a smoky form he is the most excellent son of devaki he is the delight of devaki, nanda and rohini he is a favourite of vasudeva and his son his smiles are both like dundhuvi trumpets and : flowers he is fond of laughing aloud he is the lord of an epithet of vishnu all, decaying and undecaying he is achyuta undecaying, the lord of truth and is fond of truth he is the most beloved husband of rukshmini he is the favourite of milk women and his piety has been sung in well known verses he is vrishkapi, yama, guhya, mangala, budha, rahu, ketu, the crocodile and the union of the mouths of the elephants he is the destroyer of crocodiles and the protector of the headmen of villages he is the kinnara, siddha, the prosody and easiness he is of the universal form, of large eyes and the slayer of the daityas he is of endless forms, is stationed in elements, in the celestials and danavas he exists in dreamless sleep, is dreamless sleep itself and is the place for it he exists in an awakened state, is the agent and the place thereof he exists in the state of dreamless sleep, is conversant with it and is the dream itself he also exists in the fourth state devoid of these three states of dreamless sleep, dreaming sleep and awakening he is the discriminating knowledge, is chaitra, the sentiency and the creator of sentiencies he is the lord of the worlds and the ordainer of the worlds he resides in the nether region, the nether region itself and the destroyer of all sorts of feverish complaints he is of the form of great felicity and the propounder of various forms of faith he is easily accessible, and accessible with difficulty he is engaged in pranayama suppression of vital air he is pratyahara, dhrakat and the maker of pratyahara he is effulgence, personal grace, rays, pure and like unto crystal he is above it is the yogic process of restraining the organs of senses from suscipitibility to outward impressions, and directing them entirely to mental perceptions this is one of the means for effecting the entire subjugation of the senses t steady thought retention or holding of the image or idea formed in the mind by contemplation perception, white coloured, the all and pure he is vashat kar, vashat, voushat, swadh, swaha and inclination there to he is the agent of cooking, giving delight, eating, understanding and thinking he is identical with knowledge and understanding he is the great and the creator of all creators he is the river, nandi,t the lord of nandi and the destroyer of the trees of india he is the holder of discus, the husband of shree and the king of the lords paramount he is the master of all the celestials and is the leisure he is pushkara, the lord of pushkara and i the pushkara island he is bharata, janaka, janya and is devoid of all forms he is without any form, without any cause, without any fear and without any help o bullemblemed deity, i have thus described to you the thousand names of the lord vishnu destruc tive of all sins by reading them a brahmana attains to vishnuhood, a kshatriya acquires victory, a vaishya acquires riches and a shudra is endued with reverential faith in vishnu o:",0.8392619013786315
3,what is hell,"a nonrepenting sinner, or the one not atoning for past iniquities with the performance of a proper expia tory rite, is sure to be doomed to the pangs of any of the different confines of hell, which are respectively known as mahrouravam, timisram, hansavanam, lohitodakam, sanjivana, nadipatham, mahinilyayam, kakol","had been kept confined within the dark walls of the hells known as tire rourava and the kalasutra i offer this obsequious cake for the liberation of those spirits who are at present doomed to the tortures of those divisions of hell, which are known as the kumbhipaka hell of whirling eddies or asipatra vanam forest of sword blades i offer this obsequious cake for the liberation of spirits who are tortured in other quarters of hell i offer this obsequious cake for the emancipation of those spirits who had reincarnated as serpents, birds, or other lower animals, or had been consigned to the voiceless agonies of veg cv yajnavalrya said for commission of heinous and infamous acts, and omission of doing what is good and commendable, a person is sure to be condemned to the torments of hell an unbridled gratification of the senses paves ones way to the gates, of hell hence rites of, expiation should be, performed both for the cleansing of the spirit and the body a performance of any expiatory iite restores the lost good name of its performer in society, and brings on that secret joy in the mind which is the true criterion of a reclaimed spirit a nonrepenting sinner, or the one not atoning for past iniquities with the performance of a proper expia tory rite, is sure to be doomed to the pangs of any of the different confines of hell, which are respectively known as mahrouravam, timisram, hansavanam, lohitodakam, sanjivana, nadipatham, mahinilyayam, kakolam, andha tamisram, avichi and rumbhipikam, the doors of which ate guarded by iron bolts and which are full of festid exhala tions a winedrinker, or an assaulter of the sacred person of a brahmana, or a goldstealer, or a person defiling the bed of, or calumniating, his own spiritual preceptor, as well as the one who speaks lightly of the vedas, commits the same sin, both as regards extent and atrocity, as the killer of a brahmana by eating a food prohibited in the shastras, by doing any thing low and deceitful, by kissing the lips of a woman in her menses, one commits the same sin as that which originates from the use of wine the sin, which is attached to the steal ing of a horse, is identical in all respects with what is com mitted by a theft of gold by going unto the wife of a friend, or on a virgin daughter of ones own loins, or unto a girl of lowcaste, or unto a woman of ones own consanguinity, or unto a sister of ones own father or mother, or unto the wife of ones own maternal uncle, or by visiting the bed of ones own sister, or by living with a sister or a cowife of ones own mother, or with the daugher or wife of ones own preceptor, one commits the same sin which is attached to the defilement of the bed of a preceptor the male offend ing party should be killed by cutting off his genitals, as well as his female accomplice, if found to be a willing party to the incest under the circumstance 38 the following sinful acts, vis, cowkilling, robbing of a brahmana, nonrepayment of ones debts, and nondischarge of ones monitary obligations, nonkeeping of the sacred fire by a brahmana, or his engaging in any sort of trade or merchandise, marriage by a younger brother in the unmarried state of his elder, tutelage under ones own servant, or ac ceptance of any gift from him, going unto another mans wife, negotiation of the marriage of a younger brother before that of his elder, creating a breach among friends and rela tions for money, tuition for pecuniary considerations, sale of salt, murdering of a kshatriya, vaishya or a regenerated shudra, infamous livelihood, misappropriation by a man of any property held in trust, breaking of a vow, selling of meat roasted on a gird iron, or of a cow, abandoning by one of ones own parents, selling of tanks, gardens, etc, dedicated to the use of the community,giving of ones daughter in marriage with a parivinda a younger brother marrying in the un married state of his elder, officiating as a priest in a religious ceremony celebrated by a person charged with the preceding guilt, selling by one of the ornaments of ones own daughter given her by her husband or friends, following of a crooked path in life, an attempt at defiling a religious vow or a penance of another, undertaking of any act for onessole and exclusive benefit, drinking of any spirituous liquor, seduction of another mans wife, renunciation of the study of the holy vedas, desertion of ones sons and relations, aban donment of the sacred fire, perusal of immoral literature, and selling of ones sons and wives, are included within the category of upapatakas minor moral delinquencies now hear me describe the mode of performing the proper expiatory rites for the atonement of sins, enumerated before the killer of a brahmana shall live on a spare diet, taking only as much food as is absolutely necessary for bare sub sistence and roam about for a continuous period of twelve years, bearing a human skull on his head, and thereby making a contrite confession of he whole universe with his accumulated pieties, becomes an awakened spirit through the grace of vishnu those who wish to sail across this ocean of misery, shall perform agnikryas homas, japas, and rites of ceremonial ablutions, and wor ship vishnu the king is the refuge of the kingdom, the father is the refuge of his sons, virtue is the refuge of all beings, and the god hari is the refuge of all o thou greatest of the holy sages, to those who make obeisance to the eternal visudeva, the parent of the universe, exists not a holier sanctuary place of pilgrimage than a contemplation of the god without laziness one should meditate upon govinda, it is immaterial whether he fails to make any offering of gems, or to study any part of the vedas a devotee of vishnu, whether he be a nishida or a chandla, is equal to a brahmana in respect of purity, and the gate of hell is permanently closed against him if a suppliant is always found to fondly",0.9822520177092469
4,what is punishment for sexual desires?,incapacity of that organ to respond to the call of desire on account of grief or fright,", traumatic, etc nonerection of ones virile organ owing to ones holding sexual congress with a woman whom one detests, or the incapacity of that organ to respond to the call of desire on account of grief or fright are cases , 70 which illustrate the mental cause of impotency excessive loss of semen through ingestion of extremely saline, pungent, or acid articles of fare, or through such like factors which are calculated to aggravate the deranged pittam may bring on impotency which may be called pittaja impotency similarly, sexual excesses without using any kind of aphrodisiac medicines may he followed by the same result voluntary suppression of erotic propulsions, severance of the spermatic chords, not to speak of congenital deformities, such as absence of the testes, etc, may give rise to impotency con genital impotency, as well as that due to the severance of the spermatic chords, should be regarded as incurable :0: is not killed at all speak what is true and pleasant cease to communicate an unpleasant truth, nor a pleasant untruth this is the eternal virtue acquisition of a thing by stealth or force is called steyam, the contrary of this leads to virtue renunciation of sexual intercourse at all times and under all circumstances, whether in mind, speech or act, is called brahmacharyam continence nonacceptance of gifts even in moments of peril and a studious renunciation thereof is called aparigraha purificat uted by persons performing shraddha ceremonies in honour of their departed manes at gaya the fourfold means of salvation consists of a knowledge of the supreme brahma, performance of shraddha cere monies in honour of ones departed forefathers at gaya, death in a cowshed, and residence within the confines of the holy field of kurukshetra o vyasa, all the holy oceans and pools and rivers and wells attend upon the man who makes a religious ablution in any of the sacred pools at gaya sins incidental to the murder of a brahmana, or to the drinking of wine, or due to ones defiling the bed of a superior person, or incidental to the company of a person guilty of any of the aforesaid crimes, is absolved by performing a shraddha ceremony in honour of his soul at gaya persons who have departed this life without the rites of purification done unto their souls, or killed by thieves and ferocious wild beasts, as well as the souls of persons died of snake bites, enter the region of paradise through the merit of a shraddha ceremony done unto them at gaya i cannot exhaust the merits and benefits which a man acquires and derives by offering an obsequious oblation at gaya, if i go on relating them even for millions and millions of years :0:",0.9495194690382999
5,what is punishment for sexual desires of women?,the incapacity of that organ to respond to the call of desire on account of grief or fright,", traumatic, etc nonerection of ones virile organ owing to ones holding sexual congress with a woman whom one detests, or the incapacity of that organ to respond to the call of desire on account of grief or fright are cases , 70 which illustrate the mental cause of impotency excessive loss of semen through ingestion of extremely saline, pungent, or acid articles of fare, or through such like factors which are calculated to aggravate the deranged pittam may bring on impotency which may be called pittaja impotency similarly, sexual excesses without using any kind of aphrodisiac medicines may he followed by the same result voluntary suppression of erotic propulsions, severance of the spermatic chords, not to speak of congenital deformities, such as absence of the testes, etc, may give rise to impotency con genital impotency, as well as that due to the severance of the spermatic chords, should be regarded as incurable :0: tted hairs, sleeping both at daybreak and nightfall, and without the wearing cloth, the beating against ones back and belly to keep time with music, a voracious appetite and boistrous laughter are the causes which may destroy the opulence even of the god keshava himself a cooled and wellwashed head, the well cleansed extremities, an intercourse with a virtuous woman of commendable features except on the nights of the new and the full moon, and sleeping in the night with the usual wearing cloth on, are the acts which may retrieve ones longlost for tune the wearing of any flower, and of a white flower in special, on the head, bars the advent of bad luck which has her favourite haunts in the back shadow of a bedstead, or in that of a cushion or lighted lamp, and at the pools where washer women wash their dirty linens a man with any love of life and health shall avoid exposure to the autumnal sun lit staying in the sign of virgo, or to the smokes and exhalations of a cremation ground, or to the sweepings of a chamber, and coition with woman who is his older in years, and the use of putrid curd technically known as tarunam dadhi the particles of dust brushed off from the sides of a horse, of a cow, of an elephant, or of a chariot are auspicious, while those obtained from the body of an ass, of a sheep, or of a camel are unholy paddydusts as well as those which stick to the body of ones own child or cow, are holy and sinexpiating in their contact dusts which are brushed off from the sides of a goat, or of an ass, as well as those which are raised by a sweeping broom are unholy and unhealthy the wind wafted by a winnow, the washings of hair and nails, the dribblets from ones bathing cloth and bathpitcher, as well as the dusts which float before a sweeping broom, have the power of des troying the pieties of a man acquired even in a previous existence you must not walk between two rows of brhmanas, nor between a fire and a brhmana, nor between a man and his wife, nor between two bulls or elephants whatwise man will believe in a woman, in a serpent, in a king, in the services done by his own enemy, in the infallible nature of his own knowledge and memory and in the enjoyment of the worldly pleasures, even for once in life trust not those who are unworthy of credence do not repose unbounded faith even in the trustworthy, lest they might bring about your ruin arid overthrow by betraying it he who rests confideht after having made a ireconciliation with his enemy, is sure to a fall one day like a mah who peacefully reposes on a treetop be not too mild nor too fierce, but subdue a mild enemy with a mild means and a fierce one with fierce measures be not too straight nor too crooked crooked trees are left standing while the straight ones art felled by a forester trees that are laden with fruits are bent under their burden, a heavy raincloud seems to touch the ground with the weight of its charge but a fool and a dry wood breaks under pressure but knows no bending pleasure and pain come and go without asking men, like cats, are ever ready to pounce upon happiness many a happiness walks before and after a virtuous man, the contrary being the case with the inequitous a counsel heard by six ears discussed among three men is soon divulged heard by four it is kept person with the permission of his elders, first had and obtained in that behalf, and with his body annointed with clarified butter a sagotra related by ties of consanguinity or a sapinda relation of the husband, may act in a similar capacity and for similar purposes such visits should be permitted only as long as there would remain any natural chance of conception, otherwise the visitor would be degraded in life a child thus begotten, shall belong to the lawful husband of its mother a married woman found guilty of wilful incontinence to her husband, and again placed into his lawful custody, shall be made to wear dirty clothes, and to live on a single morsel of food at the close of day, negligent of her toibette and sleeping on the bare ground instead of her usual bed the moongod gave the women their sanctity, gandharva gave them the sweetness of speech sacred is fire and sanc tified is the person of a woman she, who wilfully brings about an abortion, except for the purposes of purifying her self after having committed an act of adultery, commits the sin of killing her own husband born in her womb in the shape of the foetus polluted is the person of such a murderess a husband is at liberty to summarily discard a wife, addicted to the habit of drinking wine, or afflicted with an incurable disease, or found to be inimically disposed to wards him o ye holy sages, a wife, blest with the gift of sweetness of speech, tender, and graced with all those peculiar and excellent virtues which are found only in women, should be maintained and provided",0.9562257068852583
6,what is punishment for sexual desires of women?,the incapacity of that organ to respond to the call of desire on account of grief or fright,", traumatic, etc nonerection of ones virile organ owing to ones holding sexual congress with a woman whom one detests, or the incapacity of that organ to respond to the call of desire on account of grief or fright are cases , 70 which illustrate the mental cause of impotency excessive loss of semen through ingestion of extremely saline, pungent, or acid articles of fare, or through such like factors which are calculated to aggravate the deranged pittam may bring on impotency which may be called pittaja impotency similarly, sexual excesses without using any kind of aphrodisiac medicines may he followed by the same result voluntary suppression of erotic propulsions, severance of the spermatic chords, not to speak of congenital deformities, such as absence of the testes, etc, may give rise to impotency con genital impotency, as well as that due to the severance of the spermatic chords, should be regarded as incurable :0: tted hairs, sleeping both at daybreak and nightfall, and without the wearing cloth, the beating against ones back and belly to keep time with music, a voracious appetite and boistrous laughter are the causes which may destroy the opulence even of the god keshava himself a cooled and wellwashed head, the well cleansed extremities, an intercourse with a virtuous woman of commendable features except on the nights of the new and the full moon, and sleeping in the night with the usual wearing cloth on, are the acts which may retrieve ones longlost for tune the wearing of any flower, and of a white flower in special, on the head, bars the advent of bad luck which has her favourite haunts in the back shadow of a bedstead, or in that of a cushion or lighted lamp, and at the pools where washer women wash their dirty linens a man with any love of life and health shall avoid exposure to the autumnal sun lit staying in the sign of virgo, or to the smokes and exhalations of a cremation ground, or to the sweepings of a chamber, and coition with woman who is his older in years, and the use of putrid curd technically known as tarunam dadhi the particles of dust brushed off from the sides of a horse, of a cow, of an elephant, or of a chariot are auspicious, while those obtained from the body of an ass, of a sheep, or of a camel are unholy paddydusts as well as those which stick to the body of ones own child or cow, are holy and sinexpiating in their contact dusts which are brushed off from the sides of a goat, or of an ass, as well as those which are raised by a sweeping broom are unholy and unhealthy the wind wafted by a winnow, the washings of hair and nails, the dribblets from ones bathing cloth and bathpitcher, as well as the dusts which float before a sweeping broom, have the power of des troying the pieties of a man acquired even in a previous existence you must not walk between two rows of brhmanas, nor between a fire and a brhmana, nor between a man and his wife, nor between two bulls or elephants whatwise man will believe in a woman, in a serpent, in a king, in the services done by his own enemy, in the infallible nature of his own knowledge and memory and in the enjoyment of the worldly pleasures, even for once in life trust not those who are unworthy of credence do not repose unbounded faith even in the trustworthy, lest they might bring about your ruin arid overthrow by betraying it he who rests confideht after having made a ireconciliation with his enemy, is sure to a fall one day like a mah who peacefully reposes on a treetop be not too mild nor too fierce, but subdue a mild enemy with a mild means and a fierce one with fierce measures be not too straight nor too crooked crooked trees are left standing while the straight ones art felled by a forester trees that are laden with fruits are bent under their burden, a heavy raincloud seems to touch the ground with the weight of its charge but a fool and a dry wood breaks under pressure but knows no bending pleasure and pain come and go without asking men, like cats, are ever ready to pounce upon happiness many a happiness walks before and after a virtuous man, the contrary being the case with the inequitous a counsel heard by six ears discussed among three men is soon divulged heard by four it is kept person with the permission of his elders, first had and obtained in that behalf, and with his body annointed with clarified butter a sagotra related by ties of consanguinity or a sapinda relation of the husband, may act in a similar capacity and for similar purposes such visits should be permitted only as long as there would remain any natural chance of conception, otherwise the visitor would be degraded in life a child thus begotten, shall belong to the lawful husband of its mother a married woman found guilty of wilful incontinence to her husband, and again placed into his lawful custody, shall be made to wear dirty clothes, and to live on a single morsel of food at the close of day, negligent of her toibette and sleeping on the bare ground instead of her usual bed the moongod gave the women their sanctity, gandharva gave them the sweetness of speech sacred is fire and sanc tified is the person of a woman she, who wilfully brings about an abortion, except for the purposes of purifying her self after having committed an act of adultery, commits the sin of killing her own husband born in her womb in the shape of the foetus polluted is the person of such a murderess a husband is at liberty to summarily discard a wife, addicted to the habit of drinking wine, or afflicted with an incurable disease, or found to be inimically disposed to wards him o ye holy sages, a wife, blest with the gift of sweetness of speech, tender, and graced with all those peculiar and excellent virtues which are found only in women, should be maintained and provided",0.9562257068852583
7, What is the symbol of Savitri initiation?,"tieing of the sacred mounji, or strings of deer skin and blades of kusha grass twisted together","generation consisting in the performance of a vratyastoma sacrifice the three twice born castes of brahmana, kshatriya and vaishya, are, so called from the fact of their being born a second time through spiritual initiation tieing of the sacred mounji, or strings of deer skin and blades of kusha grass twisted together, the symbol of savitri initiation after having been delivered of the mothers womb the vedas are the highest depository of all sacrificial and penitential knowledge, and of all acts which conduce to the spiritual welfare of the twiceborn ones a member of a twiceborn caste, shall offer libations of milk and honey to the gods and his departed manes the libations should be offered from day to day, and the vedic ricks should be recited in connection therewith a member of any of the twiceborn orders, shall read the saman, the atharvans, and the angirasam in the same manner, and shall appease the gods and his departed manes with similar libations the gods and the pitris are pleased with him who reads the vedas, the vedavakyam, the puranas, the gathikas, and the itihasas, every day, to the best of his ability, and propitiates them with offerings of meat, and libations of milk and honey the merit of performing a particular religious sacrifice can be acquired by reading the portion of the veda which deals with 34 that particular sacrifice, and the twiceborn i one who reads his veda every day, acquires the merit of making the gift of a plot of land, as well as that of practising austerities a b rah mana disciple or pupil, pure in thought and con duct, and with an absolute control over his senses, shall sit beside his acharya, or by the side of his wife or son in his absence, or in front of the sacred fire the selfcontrolled one shall live according to the injunctions laid down above, whereby he will go to the region of brahman after death, and will not revert to the chain of life :0: ccxxiv now i shall discourse on chudamani for the ascertainment of auspicious or inauspicious auguries having made obeisance to gana, soma, and the goddess, the soothsayer should obliquely put down three lines on the paper, in the shape of a stream of cows urine then the different symbols of calculation such as the banner, camel, lion, dog, bull and the ass should be put down in the different chambers the crow should be regarded as the eighth symbol in the diagram banner seen in the chamber of the banner presages thoughts about a kingdom or wealth, dhumra camel seen in the chamber of the banner presages thought about metals and gain lion seen in the chamber of the banner presages acquisition of wealth and gain dog, seen in the chamber of the b cxxxvi brahma said :i shall now deal with the mode of per forming sravandvdasi vratam, a practice whereof grants enjoyment and salvation to the person who practises it the day of the eleventh or twelfth phase of the moons increase, marked by the asteri",0.9936430719163682
8," What does reading the Garuda Purana give?
","presents of land, gold, kine, food and dakshina mortals, who recite this sacred puranam, or hear it recited by others, ascend to the eternal region, absolved of all sin, and freed from the pangs of existence","said :the rishis such as shaunaka, etc, having drunk these ambrosial words, pertaining to the glory of vishnu and encompassing the knowledge inculcated in all the shastras, became extremely happy this sacred, purify ing, sinabsolving garuda puranam should be constantly re cited, and by hearing it recited one is enabled to witness the fruition of all desires the hearer of its narration shall make gifts of beddings, etc, as described before, otherwise he will not acquire the merit of hearing it duly narrated the text of the puranam should be first worshipped after that, the reciter shall be propitiated with presents of land, gold, kine, food and dakshina mortals, who recite this sacred puranam, or hear it recited by others, ascend to the eternal region, absolved of all sin, and freed from the pangs of existence the end i preface a few preliminary remarks on the history, scope and contents of the garuda puranam may be necessary the garuda puranam l may be safely described as a sister work to the agni puranam each of them treats of par vidy and apara vidya, secular knowledge and metaphysical truths, and par takes more of the nature of a catechism of the then prevailing brahmanism, or of what a brahmana was required to know at the tune, than of the puranm proper, at least if we may be admitted to look upon the rmyana or the mahbhratam as the model of that class of literature superficially conforming to the rules of pancha sandhis, etc, the garuda puranam, like its sister work, reflects but the knowledge of the brahmanical world at the time, and had its uses then as it has even now without doing violence to the antiquarian instinct, we must say that it is quite futile to attempt to lay down the precise date of the composition of the garuda puranam its name occurs in the halyudhas brahmans sarvasvam chakrpani dntta has quoted many a recipe from it, and the vishnu dharmottartun, according to several eminent authorities, orginally formed a portion of the garuda puranam all these factors emphatically demonstrate the fact that, the garuda puranam was in existence even before the tenth century of the christian era on the contrary, we have reasons to believe that, hosts of puranas and upapuranas were composed in the age of brah manic renascence, which immediately followed the overthrow of buddhism in india the garuda puranm, like the agni, shiva, padma, and the like puranas, were the exponents of the victorious brahmanism, which, being inevitably divided into achisms, tried to invest the tutelary deity of each sect with the attributes of supreme divinity or brahma, and to equip its , members with a complete code of rituals, law and other neces sary informations regarding the incidents of every day life, subservient to, and in conformity with, the vedas and the vedic literature thus each schism or faction, or more correctly, each puranam, the scripture of each sect of special, tutelary divinities, became a new school of law, medicine and metaphysics, etc, reinstating the old errors of the vedic literature as if to ignore the many advanced truths and principles of the later day buddhistic science, and to confirm the victory of brahmanism even in error and fallacy the description of the incidents of the life of buddha, however meagre and incidental it might be, and the occurrence of the name of sushruta in the medical portion of the garuda puranam leaves not the slightest doubt that its author was intimately acquainted with the buddhistic literature of the age, both medical and metaphysical it is a settled fact of history that the sushruta samhita, at least the recension of the sashruta samhita by the buddhist nagarjuna, was written in the second century bef ived all the burnt trees, garuda is hari he related it unto kashyapa the auspicious garuda purana, when read, gives piety and all objects hear, o sho unaka, how hari describe it unto rudra :o:",0.9899722998961806
9,Why did Krishna bring back the son,for the furtherance of the divine cause,", when krishna was translated to heaven in order to please his preceptor sandipani, krislna brought back the 53 soul of his son from the mansion f death, and brought back to life the son of that holy sage for the furtherance of the divine cause, he installed ugrasena as king on the throne of mathuri o: ka and malla who guarded the person of that detestable tyrant krishna had eight principal wives, such as rukmini, satyabhm, etc, besides a seraglio of sixteen thousand other wives by them he got hundreds, nay thousands of sons and grandsons by rukmini he had a son named pradyumna, who killed the demon shambar a the son of pradyumna was aniruddha, who married ush, the daughter of king vina there ensued a deadly conflict between krishna and the god shankara, when the elopement of ushi with aniruddha was detected and made known to the world krishna cut down the thousand arms of king vina with the exc on was the powerful prithu his son was nakta whose son was gaya gayas son was nara whose son was buddhirat his son was the intelligent and highly powerful bhouvana he had four sons, viz, twastha, twasthu, viraj and rajas rajas son was shatajit whose son was vishwakjyot :0:",0.9671214951409234
10, What should a prudent man never publicize?,"any insult he might have suffered, to aty deception that might have been practised upon him, to any heartache of his own, nor to an instance of female infidelity in his house","l prowess an intelligent man shall enter into the good graces of persons he shall have to deal with through an accurate judgment of their likes and dislikes, and thus speedily win then over to his cause or side no confidence should be reposed in the freaks of rivers, horned cattle, clawed beasts, women, persons of royal blood and armbearing individuals fully equipped soldiers etc, a prudent man should never give any publicity to any insult he might have suffered, to aty deception that might have been practised upon him, to any heartache of his own, nor to an instance of female infidelity in his house movements in a low or wicked company, a long separation from her husband, ex cessive and indulgent fondling, and a residence in anothers house are the factors which excite a wife to break her plight ed faith who is he who can boast of a spotless pedigree where is the man who has never been assailed by any malady who is he whom danger doth not beset in life who can be sure of the perpetual favours of fickle fate who is he whom opulence filleth not with pride who is he who standeth above all probability of danger where is the man who is impervious to female charms who is he whom a king doth love in his heart who is he whom time doth not sway who is he whom begging doth not lower who is he who being netted with the guiles of the crafty, has come off unscathed perpetually in distress is the man who has no friends or relat meditation, adoration and fire a worshipper should daily use gayatri destructive of all sins one should assign it to the toes of the feet, insteps, kneejoints, organ of excretion, scrotum, tubes, navel, belly, breast, heart, throat, mouth, palate, eyes, eyebrows, fore head, in the east, south, north, west an is not killed at all speak what is true and pleasant cease to communicate an unpleasant truth, nor a pleasant untruth this is the eternal virtue acquisition of a thing by stealth or force is called steyam, the contrary of this leads to virtue renunciation of sexual intercourse at all times and under all circumstances, whether in mind, speech or act, is called brahmacharyam continence nonacceptance of gifts even in moments of peril and a studious renunciation thereof is called aparigraha purificat",0.97402071810904
